"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x000000005736775feb0c8568e7dee77222a26880","2E-18","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x013b72f2fa0b0192aeb2527831a81a60be338df0","31372660.2525125","No"
"0x02023798e0890ddebfa4cc6d4b2b05434e940202","1E-18","No"
"0x02749e9d50eddcc43ab7ee2ad151d234e9001912","56536177.4702742","No"
"0x0320f12e5c7cb57029a9d4e1655e17f29866e478","122878694.007187","No"
"0x0326919b6c599b8e7b71298eda4c95436d3e12f9","297102280.253843","No"
"0x047e6955a24c9017a48ba5eeca674b51ffc8e191","3256352844","No"
"0x09c809b26fd9be2b64b284dc52a90b94edd47144","6000000000","No"
"0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d","1119439916.64805","No"
"0x0cea19a8bc17387cdb325fd6146d1e51616f7535","2799901001.65122","No"
"0x152072bf08f2f37ec5327e26e8d6051152b63af2","509802458.138689","No"
"0x1831f128d0efc1cda0fa104b08ad14a3fcb42af4","2100000000","No"
"0x1916f10ec537863f0ae4c2ac713e168fafa65295","5500298247.81595","No"
"0x1c17a23900a0436ba04952c6d23ee2e1f70e98be","18888888","No"
"0x1cdf356937a50e8468bcc9f572e4bcda89b10ab7","2069448383.41546","No"
"0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d","1E-18","No"
"0x2124e7994f0dc20a201e241c204e321dd89d3f56","409055546","No"
"0x22a6eee2c4db9957e18a5ee4736b92702e4311fc","2607678350.64029","No"
"0x22ae2a3ddd39781e2b2de836f46773eabe78b7ae","118678960.221475","No"
"0x277076774bfd00612f64d0cdf4be70a47ae26913","39340842.0669478","No"
"0x27d771bf0e1d5cb0f3b4a837c8e29f02ba8c8868","8.43193596597E-07","No"
"0x2c8f2ddbfcf1337fb7a582744e1a4ec253bdcf1d","120000000","No"
"0x2efc41a2f72f85da7a9aa773d8b9d3a21c015c38","4099993776.34632","No"
"0x2fcfdecb0889ce743fa793bb8c70411a71fca4e9","6539501101.17711","No"
"0x2fe5b3e5e1e72a6aafac440ee6a3a0db63fd8391","131963707.514101","No"
"0x322491a20ed9db6e221c2b977697576bcb8bcc3d","111058354.291236","No"
"0x32bf58298dd2302411750d5ca68d55ee4b1f3e37","4277643.20709153","No"
"0x32d0074a9906cefc16207b2679a2203401098081","5045126.34860159","No"
"0x3328f5f2cecaf00a2443082b657cedeaf70bfaef","93439068.8235258","No"
"0x35b3114d93a8af1b23b56ea2ac11f3d8e78bd24e","228705555.980669","No"
"0x3bd3ce01c82a12d7cff7c85a9e8bb27ae42fb548","2759382222.32717","No"
"0x416d7f3823bc7d8dbab00056ede0325e52f0a5c2","134793844.085384","No"
"0x43052d050fbeafbaac1b747cb2cd45c1c5eecddd","1099345483.077","No"
"0x433754ebfd88dee160fafefbd033bc03f09e3d6d","16415133.6193347","No"
"0x442747e725d0e1d1fe46c3635f8e01253b6d1ec7","2211841548.22899","No"
"0x44ff92199fe1c03f0555abe473d2556ccc196f73","154870732.097028","No"
"0x45fd07c63e5c316540f14b2002b085aee78e3881","2347673990.84274","No"
"0x4c55e674eb3fcafb95ecc8a1bb18e182891936e8","2792917.59111927","No"
"0x4f02285a5a15ededcf6dbb3e0139f2bb7b50ab8f","531637163.156877","No"
"0x545db8d43ac6e933ae2ba89a7480a6dc59ee50d0","2659514959.33576","No"
"0x56c1c1c1dd17cbc4e992f832c6d63db53d7ae41e","158090000","No"
"0x575c3a99429352eda66661fc3857b9f83f58a73f","1E-18","No"
"0x5853f43d0809cf35959405b5e4b545a2d1f600e9","723653530.953927","No"
"0x599ed2119efc6b97d23729e0f2af5bf71c1e1249","11002912.0413729","No"
"0x5ad49a998c5848864652335005e7bfcaca042b6d","1824948.609438","No"
"0x5c8589fdb2999c7a160e50bb3aae62bcbb3e0612","33000000","No"
"0x5d74c072d3229402bc67ada77a2094e8598b9008","393817901.038869","No"
"0x639609d9eacf3f0de9c9541930f64510bbc2924e","71884038.4649039","No"
"0x64a52e0c2bafbb49c8d8e59772c8f8d858947ae8","910238441.270445","No"
"0x6a3918cc11fe8c37097846c6eb5a0655d57e8a85","138885736.97938","No"
"0x6f03cafa67e0b846182eaee3f1fee2531b71050c","930907204.882427","No"
"0x7160f7db1cfd29dc2ab8a5392820129b3637b773","102302528.728261","No"
"0x75d98105b2317912500ac1c3f1a0b83afb646eee","604967279.70676","No"
"0x77327a1df09f0489da1ecbd19340a8100df3bf33","4510000000.57017","No"
"0x7c9f6b5707fa8177984dfdc99d31ced563671f83","320451967.733888","No"
"0x7f435225696af35351b72ec3dba8851f8c41f3e9","69716177.2276973","No"
"0x8694fe88232c43a3a32cb378468fa4c07d7abb2c","135252738.508545","No"
"0x8723af66e4377df827b9135b8bca3d4352d0f130","462032701.725142","No"
"0x8835fb5ce4c34199f1bad96536d9fd5a7e52f04f","409225567.242607","No"
"0x897cf008f5f4d53011232fb3c77b6d373983d858","3316438515.93866","No"
"0x8b3625d6d5607b4423825ac6ef04260182109719","108510975.329787","No"
"0x8bfff78edbfa534fe52dd87d945dac9a671957ae","36180325.9762135","No"
"0x8c93bc0ccc2824964860cba99eabad54b82e4960","279437662.879219","No"
"0x90d9f88b901cf0b282bafaacbcca9be09d3cee69","1019195417.40115","No"
"0x93aa724a193210491b2e9d81a72ff311bb67b628","42421014.6589369","No"
"0x954edfbfb2fd9e4ad12892a0d5783560d53aee28","298840187.141382","No"
"0x97b0fbbc81044442fdcd88b2be36b3df190fe411","190912529.825505","No"
"0x98d666a0a3e30399ee617fa7c9ba6d3ae003b8e6","2379333276.32827","No"
"0x9900d3eb55796f21a5a9a98684a9e18363a628e1","3452786655","No"
"0x9bf59005baeaecaa3db4d75dedacc445b31af0f9","48032125.8761732","No"
"0x9df53ded25dbf14de92ca6f25b5776d29aa471c2","113811403.705544","No"
"0xa18aa7d05f50b3c013c3de9ae63217a78e40859f","124262334.268809","No"
"0xa1c71dd36b10009012b01b9e82f9b749286f12c6","900000000","No"
"0xa2207eb24960bab16c6896cc522405d4c9fc4e68","7699118.3559651","No"
"0xa290ce9d436c702813140c670dda357e76b8e6b6","11104690.6773887","No"
"0xa47e39776a6e027d48b53449d2197229aba6ee55","40000000","No"
"0xa7577f841d95b1331954c936d71fe45ba2f62fe5","102514227.839328","No"
"0xa8c7aa48e15b5338ea174ee201dbefbab017385e","296649405.4518","No"
"0xb1100689e3485d40a12b50c917bb737bf35eea3a","81035473.8981079","No"
"0xb4d6538017e863b66c408d3812ba527bfd7157a7","100000000","No"
"0xb5c9768b0a2a396ff2bdb052a14cdfe61f62bd5d","50000","No"
"0xb8fe28ec3557124d5325ba83bc6a9186dabdf896","243963715.414892","No"
"0xb95b31088b131e587d4a8bdcf7fbadbc6b15b241","8584788.97851108","No"
"0xb95dc5fef5aa2aa7dd1f21b7979901bdab290ae5","140508143.235965","No"
"0xba8250a68ab4d6f1789be36f468634b1bccfa292","37239408.6384614","No"
"0xbe23cbb62064b8b1550ae5ada59c39d45b1e2081","302446335.416447","No"
"0xbf0f79932e3e136a0a948fd6a8aa4ca8ccfe0ee1","10173914794.8452","No"
"0xc04ce4ba9bfb434479b58b9fe83112e0931d09cf","218836527.433238","No"
"0xc364ecdd91e313b33afb4d015ac42fd8a8456f37","5334848212.71141","No"
"0xc8c1b41713761281a520b7ad81544197bc85a4ce","642607541.382622","No"
"0xcbd7c0045958003b4935dfd5aa5d93454490ad04","42251882.7256354","No"
"0xd00eaecca2d3fd79be24dbf72c92e19be57af666","119510749.801105","No"
"0xd2ff8fb2595aef62052e5c4480370e82bcd3441c","1618842301.7358","No"
"0xdbf30c8169763b0d7c3e62eb69c05f1d9d143395","324111809.67468","No"
"0xdf79d1b6885efd2e56c1bfabe7641d1a6f29c0bd","177908725.138159","No"
"0xdf9d555353d872222efeb2ef3ee46cb979452164","250000000","No"
"0xec421cc8e7d592a422466c11377d3c6e7715fd7d","100000000","No"
"0xeda1585de5f9e4577834c2436c91192cf4af0100","3683721.46709595","No"
"0xedfda531b7c7994cf0c9732e1abb37da99f2f1b4","733331794.730371","No"
"0xee01edf47fa564968651945fe9a9bfec94222594","50000000","No"
"0xee2ef641756080fb07a358fe1cae51e4748f4593","321934414.90368","No"
"0xf13e49f2e33648f951dec644547e89f62f51e82c","44741452.7469429","No"
"0xf2b4a3fa7b4a2df8f1b39496e965bb804df7a9cb","152588057.370071","No"
"0xf422c173264dcd512e3cee0db4acb568707c0b8d","2000000002.4609","No"
"0xf8d184723887b3914587a6e7d0757c4026af1640","596517566.857119","No"
"0xfc4d7cdf09fa9a8d2fc8c428fb6bd30aa93fc76e","1500000000","No"
"0xff40eac9cd4bceac511bd1f0a16e985e51665cbc","31017652.4239244","No"
"0xffc935b151432cea4d0ca69a72c8b58a38028b56","1585113805.03974","No"
